sentimento_modelo,categoria_modelo,loja,comentario,confianca_sentimento,confianca_categoria
" tenho a nota fiscal dessa compra já digitalizada para comprovação. Obrigado.""",False,negativo,"No dia 17/10 fiz uma compra na loja Carrefour Limão e lá recebi um folheto com o preço promocional dos produtos Combo. Porém, os preços anunciados não estavam sendo executados no caixa do supermercado. Para fazer valer o preço, tive que chamar um funcionário da loja para que este aplicasse manualmente o desconto. Ou seja, caso eu não tivesse notado, pagaria o produto sem o desconto ofertado pela Swift. Solicitei a este funcionário do Carrefour e ao promotor da Swift que notificassem o gerente da loja e fizessem a correção dos preços. Não sei se isso foi feito, pois já tinha perdido mais de 10 minutos no caixa exigindo o desconto de minha compra. Sugestão: Exigir do Carrefour a colocação de novas etiquetas com os preços promocionais. Já que a loja costuma ""esquecer"""" de corrigir em seu sistema de caixa. Caso necessitem",153,False
22,False,0.826,"naquele dia corrida. Acho que a Swift podia incrementar esse seguimento .""",149,False
25,False,0.5316,"porece que minha presença cauzor um certo incômodo"""" Pôr esse motivo avaliei desta forma.""",145,False
" ou há um problema de educação ou falta de treinamento. Não sei se voltarei a frequentar essa loja. Existem outros estabelecimentos na cidade onde sou melhor atendido.""",False,0.6522,respondi que preferia digitar eu mesmo e pedi que aguardasse. Essa atitude apressada e sem justificativa me causou estranheza. Ou ela está muito estressada,142,False
" mas no pacote com 9 espetos veio pelo menos um cubo em que vi sendo jogado fora. Foram no total 4 pacotes com 9. Parece que quer ganhar dinheiro vendendo """"lixo"""" misturado nos espetos que só vejo em coisas de segunda linha. Ou falta orientar ou treinar melhor seus trabalhadores e supervidores.""",False,negativo,"Espetinhos de carne para churrasco, mas comprado na loja Pão de Acúcar ao lado da loja Swift na loja Riviera de São Lourenço. Um coisa que é demasiadamente chata em produtos Swift: vir com nervos e partes incomíveis. Deixei de comprar músculo em cubos e carne moída de patinho da Swift por esses motivos. E com espetinhos não foi diferente. Quem limpa na fábrica precisa comer essas coisas que eles deixam passar. Ou será ""ordem"""" de misturar coisas incomíveis? É uma pena. É saboroso sim",137,False
24,False,0.6235,"descobrir que não tem o produto. Sugiro uma melhora no sistema de estoque""",132,False
" mas o atendimento """"seco"""" me fez ter certeza de que optarei pelas outras que ja conheço e só não comprei pois era a unica que estava disponivel para retirada. Parabéns para as unidades da Swift Abaixo: Alphaville (Araguaia) Cotia (Km 32 Raposo Tavares) Cotia (km 39 Raposo Tavares) Cotia ( km 26 Raposo Tavares) Cotia (São Camilo)""",False,0.6162,é tudo muito sincronizado,132,False
" mas eu opto pelo meu dia a dia ser funcional e melhor. AJUDA: Sempre preciso de ajuda para localizar os produtos que desejo. Sugiro etiquetar com letras maiores. e também colocar placas suspensas com setas para os produtos nos corredores (igual supermercado) Demais a loja é ótima!""",False,0.4554,"frango desfiado..."""" Sei que torna mais caro",130,False
" QUE FIQUE BEM CLARO!!!! Estranhei porque conheço a qualidade de seus produtos e nunca aconteceu algo assim em qualquer compra que eu tenha feito. Por isso considerei importante avisar. Com certeza continuarei comprando e recomendando a Swift. Obrigada pela oportunidade de comentar.""",False,0.5495,se é que me entendem. Infelizmente ficou um prato pesado. NÃO ESTAVA ESTRAGADO DE FORMA ALGUMA,123,False
18,False,0.3978,"em contrapartida aumento os preços. Comportamento muito comum neste país Viva Dom João VI""",120,False
20,False,0.9171,"que estão nos dando oportunidade.. de compra.... Está ótimo""",117,False
" foi um atendimento péssimo. Estou aberta para mais esclarecimentos. Grata""",False,0.681,veio falar que na descrição era outro produto. Mesmo eu explicando que o código do consumidor me garantia. Disse que teria que ser o valor real. Falei que na avaliação teria que avaliar e descrever o ocorrido e não seria boa avaliação. Colocou pressão dizendo que seria só ré o atendimento das funcionárias. Infelizmente,105,False
" claro !! MAS FOI EXCEPCIONAL ! Saí da loja muito feliz e extremamente agradecida .... Ivete Zukauskas Loja da Curso no""",False,0.9425,"e ela prontamente foi lá dentro para mim....fiquei feliz e emocionada pela boa vontade desta funcionária em me ajudar !! PARABÉNS FUNCIONÁRIA DAY... PARABÉNS SWIFT por ter um funcionário tão prestativo ....isso hoje em dia é muito difícil ...Ela poderia ter me dito """" não tem """" e eu iria comprar outro peixe",95,False
" APENAS É UMA OBSERVAÇÃO CONSTRUTIVA.""",False,neutro,"ULTIMAMENTE NÃO TENHO ENCONTRADO TUDO O QUE EU PRECISAVA, ALIÁS O ENCONTRADO ESTAVA SALGADO EM DEMASIA, COM MUITO BACON, ALIÁS EM DEMASIA. ESTOU FALANDO DO CALDO DE FEIJÃO. CALDO DE LEGUMES TEM SEGUIDO O MESMO CRITERIO DE SAL. ENTENDAM QUE É UM PRODUTO PARA SER CONSUIDO HABITALMENTE POR PESSOAS MAIS IDOSAS ( MEU CASO COM 82 ANOS) E 0 SAL EM DEMASIA NÃO MÉ RECOMENDADO NEM PARA JOVENS DE ACORDO COM A ""OMS"""" SE SANADO ESSE ASPECTO CREIO QUE TUDO VOLTE A NORMALIDADE. DESCULPEM",89,False
" mas esse erro foi bem louco.""",False,positivo,"O site e app estavam com bug aparecendo como ""indisponível"""" todos os produtos. Felizmente não desanimei e fiz o pedido pelo whatsapp e foi excelente e rápido o atendimento e entrega. Estou impressionada com a qualidade dos produtos e forma de embalagem. Já recomendei para meus amigos e familiares e com certeza a partir de agora só comprarei proteínas na Swift. Consegui economizar muito. Ponto de melhoria: Ajustar o site e app. isso pode afastar potenciais clientes. eles sao bem feitos",87,False
" só veio nervos e gordura. Obrigado""",False,0.7526,pois como mencionei,84,False
" a minha preferida. Espero que não a tirem de linha.""",False,neutro,"Três pontos: 1 - Mudaram a embalagem da cebola frita. Além de vir em menor quantidade atualmente, a embalagem antiga, com tampa ""flip-flop"""" era mais prática. 2 - Tiraram de linha o peito de frango de padaria. Um dos meus preferidos. Torcendo para que retorne. 3 - Há mais de 2 meses que não encontro a sobrecoxa desossada com chimichurri",70,False
"e parentes e vou continuar recomendando.So espero não acontecer novamente essa situação! Obrigado""",False,0.5234,se minha esposa não tivesse percebido ia pagar a mais por produtos que eu não estava levando...sempre tive boas experiências com as lojas Swift mais dessa vez tive esse transtorno! Sempre recomendo a Swift para amigos,68,False
" educação é bom e eu gosto. Att . Mariko""",False,0.5462,"nem """" bom dia """" . De verdade",66,False
" ESTOU SEM SABER COMO FINALIZOU E SE CANCELOU EM MEU CARTAO!!!""",False,negativo,"O site fez eu fazer pagamento novamente após ter aprovado meu pagamento anterior, e depois invalidado!!!! ou seja: confuso, disfuncional!!! Acabou piorando mais devido ter feito 2 entregas. E o pior não me deu retorno nem resposta: desrespeito!!! Site péssimo, mesmo tendo recorrido ao "" Swift resolve"""" NAO RESOLVEU",60,False
"pois na próxima pesquisa me reservarei o direito de não responder.""",False,neutro,"Quase nunca consigo encontrar o kit de pãozinho francês,inclusive nas minhas compras presenciais.Os atendentes dizem sempre: ""tinha mas acabou..."""". Será que não é adequado reavaliar os estoques disponíveis para os clientes ?? Outra coisa que já pedi : acertar o meu nome que é NILTON e não Milton....por favor",59,False
" desde que a """"""""swifft"""""""" chegou em BRASILIA....Espero retornar ao estabelecimento.. em breve.!!!!..Desde que os preços de seus produtos estejam mais barato que os demais ....""",False,positivo,"ADEQUAR SEUS PREÇOS COMPETITIVOS AOS DEMAIS SUPERMERCADOS ... A SWIFFT TEM A FAMA DE """""" Tudo Caro"""".... Somente fiz a compra com vocês devido a """"oferta/promoção"""" que ofereceram....Aleluia!!!!...FOi a primeira compra que fiz",59,False
" isso foi um transtorno muito grande.""",False,negativo,"Fiz uma reclamação sobre uma compra de uma Picanha Ouro, recebi um Voucher. Número do Voucher: 4435999985074471 Validade: de 23/04/2025 até 22/05/2025 Valor: R$ 114.56 E na hora de finalizar a compra o número dava como inválido o caixa teve que ligar para o ""TI"""" e fiquei por muito tempo esperando",57,False
"já tinham tirado o panfleto. Pouco vergonha isso. Falta de responsabilidade.""",False,0.6924,ainda tinha o mesmo produto lá. Fui olhar de novo na entrada da loja,57,False
" como sempre tudo em perfeitas condições! Obrigada""",False,0.5141,mas talvez ter atenção na hora de prende-los nos espetos. Por aqui cairam a maioria..rs É isso.. No demais,49,False
" uma ligação para o cliente resolve.""",False,negativo,"A única crítica é que o pedido foi feito esperando que fosse entregue o peso total comprado e não o número de itens. Aconteceu que vocês ""perderam"""" mais de 60% do ticket da venda em virtude da escolha errada. Dá próxima vez",48,False
" DIVERSOS Erros de TI de vcs.""",False,negativo,"Portal sem possibilidade de eu colocar meus dados e comprar no portal. Resposta: ""Erros...."""" Os Erros sao vossos. Só consegui comprar depois de ligar por que onde esta o Telefone para chamar no WhatsApp ele mandava para o Skipe. Ou Seja",47,False
" foi minha primeira decepção com um produto da Swift.""",False,negativo,"Comprei um Cupim já temperado pronto para assar. Depois de pronto, ele ficou praticamente sem tempero e muito duro. Tenho conhecimento que cupim é uma carne muito gordurosa, porém, esse cupim da Swift parecia estar com ""nervos"""". Enfim",47,False
" fui 3 vezes e não havia chegado""",False,positivo,"Enviando para loja do Lgo do Machado "" tulipa no molho barbecue"""" e drumettes no mesmo molho. Lá tudo é apimentado e nem todo mungo gosta. Esta em falta também a costelinha suina. Ja fazem 40 dias. No feriado passado",47,False
" vale a pena verificar e tentar melhorar esse ponto. O restante dos produto são ótimos e sempre fazemos comprar bem grandes pra renovar o estoque de carnes em casa.""",False,0.36,portanto paramos de comprar esse produto na Swift,46,False
" faltam funcionários pata informação ao cliente.""",False,neutro,"Há semanas faltam e continuam faltando os produtos Salmão de da marca Swift, somente posta de Salmão, nada mais. Produtos vegetais como hamburguer, isca de peixe e escondidinho todos vegetais da marca ""Incrivel vegetal"""". Também",41,False
" vcs não podem me presentear com uma bolsa térmica? Estou precisando para colocar os produtos da swift""",False,neutro,"Um produto que eu gostava bastante é o bacalhau com batatas, legumes, etc... que vinha na ""marmita"""" azul e não encontrei mais. Outra coisa",41,False
" qualidade nota 10!""",False,neutro,"Tive que tentar por 2 dias realizar a compra no site, não finalizava ou aparecia "" sem estoque """" em todos os itens escolhidos. Tive que insistir muito para concluir. Quanto aos produtos",36,False
" também é excelente para 02 (duas) pessoas - recomendo.""",False,positivo,"Sempre me surpreendo com a qualidade e preço dos produtos, é sempre excelente - e tem as ofertas ""dobro"""" (muito bom!!) A quantidade das embalagens",34,False
" e novamente ocorreu !""",False,neutro,"já é a terceira vez que compro espetinhos e ao abrir a embalagem, eles estão todos soltos, alguns no espeto e outros ""desprendidos"""" dos mesmos. já relatei isso anteriormente",33,False
"as pessoas precisam ser mais cordiais.""",False,neutro,"O atendimento do caixa deixou a desejar..não esboçou nenhum sorriso... nenhum..""que bom que vc voltou a nossa loja"""". Um bom dia..boa tarde..não mata ninguém. As vezes",31,False
" seria interessante.""",False,positivo,"Quem sabe fazer um dia da semana com ofertas do tipo ex: ""Mega Quarta Swift """" Com alguns produtos mais baratos do dia",25,False
" seja simpática. Simples assim""",False,neutro,"Colocando atendentes mais simpáticas para trabalhar, não com cara de ""acabou o meu sossego"""". Se vc quer ajudar",22,False
" aí não depende de mim. Obrigado""",False,0.5482,não sei se não trabalham mais,21,False
" peixe e frango semi-prontos.""",False,positivo,"Mais refeições ""light"""". Mais opções de carne",11,False
positivo,Atendimento / Loja física,L5098-AUTONOMISTAS (1405),"Loja autonomistas está de parabéns pelo atendimento da Gaby, Debra, Katia, Regis e Thamires.",1.0,0.9928
positivo,Atendimento / Loja física,L5050-SOROCABA W.LUIZ (1273),"Ótimo atendimento da Bruna. Super atenciosa, carismática, loja limpa e bem arrumada",1.0,0.9915
positivo,Atendimento / Loja física,L5086-PORTAL DO MORUMBI (1352),"Parabéns para a Marina pelo excelente atendimento, super gentil, educada e prestativa, por mais funcionários assim!",1.0,0.9914
positivo,Outros / Genéricos,L5061-BOSQUE MAIA (1304),"Se melhorar estraga .
Está ótimo assim.",1.0,0.9738
positivo,Outros / Genéricos,L5250-VILA RICA,"Se melhorar estraga.
Estâ ótimo assim.",1.0,0.9738
positivo,Outros / Genéricos,L5008-SCS MAUA (0500),"Se melhorar estraga
Está otimo assim",1.0,0.9738
positivo,Entrega / Pedido digital,L5251-JANGADEIROS,"Se melhorar estraga Kkkk. Minha primeira experiência foi surpreendente! Produtos de ótima qualidade, tudo muito bem embalado e entrega super rápida! Muito obrigada!",1.0,0.8445
positivo,Qualidade do produto,L5146-ITATIBA,"Atendimento maravilhoso, meninas super atenciosa. Produtos maravilhosos e de boa qualidade. Parabéns pela equipe ?",1.0,0.8047
positivo,Entrega / Pedido digital,L5063-SAO CAMILO (1311),"Sou sempre bem recebido pelas meninas , gleice  joice luana. Loja linda.",1.0,0.7899
positivo,Entrega / Pedido digital,L5063-SAO CAMILO (1311),"Loja linda, bem fresquinha , fui bem recebido pelas meninas joice gleice e Luana. Ótimo",1.0,0.7597
positivo,Qualidade do produto,L5233-MONGAGUA,"Parabéns, Swift ?Amo os produtos, ótima qualidade, produtos excelentes e parabéns ao atendimento e a todos da equipe nota mil .",1.0,0.6562
positivo,Qualidade do produto,L5172-PRESIDENTE PRUDENTE,"Atendimento top , Adorei e indicarei aos meus familiares e Amigos Deus Abênçoê Sempre , Ambiente Aconchegante limpo. Organizado e produtos de Ótima Qualidade ...Atendimento Ótimo..Parabéns...",1.0,0.6512
positivo,Preço / Promoções,L5122-PONTE RASA,Continuando com o  ótimo atendimento que a equipe faz e fazendo  promoções e cupons  para  os clientes. Parabéns  nota 10...,0.9999,0.4082
positivo,Preço / Promoções,L5181-RIBEIRAO PIRES,"Baixando o preço, o resto está de parabéns, o atendimento e excelente parabéns.",0.9998,0.645
positivo,Preço / Promoções,L5124-BOTUCATU,Só nos preços …kkkk no mais tudo é ótimo ! Parabéns,0.9997,0.8416
positivo,App / Site / Pagamento,L5181-RIBEIRAO PIRES,"Produtos maravilhosos, já estou ansiosa pra voltar na loja, super indico
Tenho uma sugestão! 
Eu trabalho na prefeitura municipal de Ribeirão Pires, e temos o cartão do servidor, vcs poderiam aceitar nosso cartão em suas lojas.
Pensem com carinho.
Muito obrigado por nos proporcionar produtos tão deliciosos e com muita praticidade. ????",0.9978,0.3886
positivo,App / Site / Pagamento,L5209-ITABERABA,Acho perfeito desde o atendimento até a finalização da compra,0.9972,0.2022
positivo,App / Site / Pagamento,L5025-PANAMBY (0817),Continuar fazendo oque vocês já fazem um ótimo atendimento tanto presencial como pelo app . Estão de parabéns,0.997,0.259
negativo,Qualidade do produto,L5130-TUPI,Produtos de baixíssima qualidade…,0.991,0.9249
negativo,Entrega / Pedido digital,L5063-SAO CAMILO (1311),"Devolvendo  meu dinheiro,  que comprei  a mercadoria  e não foi  entregue,  fiz uma compra no pix não recebi  a mercadoria  e até agora  não recebi  o valor  de volta.  Foi primeira e última  compra,  nunca  mais vou fazer nessa loja  e nem indicar  pra alguém.  Atendimento  online  muito demorado  , pior  ligar pra se ligar   uma hora  na espera o não resolveu meu problema.",0.98,0.9845
negativo,Entrega / Pedido digital,L5153-EMBARE,Não entregaram meu produto nem estornaram o valor,0.9788,0.9908
negativo,Entrega / Pedido digital,L5230-LARGO DO MACHADO,"Fiz uma compra pela dotz, liguei para o sac e ele desconhecia a parceria. Postei no reclame aqui e foi um descaso. Postei para a dotz e vocês não reconheceram a compra. Descaso total.",0.9764,0.6624
negativo,Qualidade do produto,L5129-REAL PARQUE,"Produto de baixíssima qualidade
Os files de Tilápia vieram muito pequenos de baixíssima qualidade. Se tivesse comprado num supermercado teria identificado pela embalagem o tamanho e a baixa qualidade do produto e escolhido outra marca",0.9517,0.9867
negativo,Qualidade do produto,L5043-PORTUGAL (1239),"Comprei uma picanha combo para assar na churrasqueira, porém a mesma estava muito dura totalmente indigesta entrei com a reclamação, mas nada foi resolvido péssimo atendimento no pós venda e péssima qualidade da carne por uma ou uma empresa famosa em outra oportunidade  comprei um peixe O mesmo estava com forte odor tivemos que descartar, então não Vejo qualidade dos produtos dessa empresa não é confiável apesar de sempre ter comprado dessa empresa. Eu não compro mais e também não indico a ninguém.
Já mandei e-mail coloquei no reclame aqui, mas infelizmente só falar o que estava cheio de demanda e eu demorar a responder, mas até agora nada dinheiro jogado fora.",0.9511,0.8911
negativo,Outros / Genéricos,L5230-LARGO DO MACHADO,"Como apresentado por mim no protocolo #394179 que segue sem resposta até o momento, foi uma péssima experiência de compra e aguardo o retorno da empresa.",0.9255,0.3192
negativo,Atendimento / Loja física,L5216-UBATUBA,"Treinamento e capacitação da equipe,  péssimo! Nunca mais volto.",0.9229,0.3571
negativo,Atendimento / Loja física,L5109-SANTOS POMPEIA,"Atendimento horrível, loja bagunçada",0.9101,0.4132
negativo,Atendimento / Loja física,L5069-AGUA RASA (1322),"Atendimento na loja ruim. 
Funcionários desmotivados.",0.9019,0.6002
negativo,Preço / Promoções,L5200-JUVENTUS,"Péssimo atendimento, preço errado e o atendimento foi péssimo, quando questionei ele disse que eu tinha que comprar 2 itens, não específico no preço, paguei e fui olhar, pois achei que eu estava enganada, não o preço estava realmente errado e o rapaz me tratou com desdem, NÃO VOLTO mais nessa loja",0.8981,0.2309
negativo,App / Site / Pagamento,L5204-ITAQUA,"Havia um item em promoção, bife de filé mignon e na compra de duas unidades o preço cairia de R$ 89,90 para R$ 79,90, cada/kg. Comprei as duas e mais alguns itens e no caixa não deram o desconto da promoção e também não reparei. Chegando em casa fui conferir a nota e reparei que não foi adicionado o desconto de R$ 20,00. Voltei à loja, levei o cupom fiscal para comprovar e com a finalidade de estornar a venda e passar com o valor coreto. Para minha surpresa a atendente, mesmo reconhecendo o erro da loja, disse que não devolvem o dinheiro. Vejam , eu não queria o dinheiro, queria apenas ser cobrado no valor correto, foi um transação via cartão de crédito, logo, era só estornar aquele valor e passar o correto, certo? Pois é, mas ela disse que era política da loja, que eu teria de comprar outro item e aí eles davam o desconto. Confesso que fiquei bastante chateado com essa resposta, esperava que estivesse em ambiente mais decente, mais seguro, como assim não devolvem o dinheiro que cobraram a mais??!!! Então sou obrigado a consumir mais para ter meu dinheiro, cobrado a mais, idevidamente, de volta?! A atendente ainda colocou outro obstáculo, disse que eu teria de ter levado à loja todos os intens de volta para ela  poder cancelar e passar novamente. Questionei que ela poderia pegar da prória loja, são os mesmos intens, aí outra funcionária veio ver e disse que resolveria. Nesse meio tempo acabei mesmo comprando mais dois itens e paguei a diferença, contudo, isso não apaga esse atendimento bem ruim, na próxima vou ficar bem atento ao valores, porque parece que depois que a transação é feita, ainda que esteja errada, é complicado desfazer.",0.8922,0.435
negativo,App / Site / Pagamento,L5220-PLANALTO,"Escolhi o produto e ao passar no caixa e pagar em dinheiro a atendente simplesmente disse que não tinha troco, aí eu perguntei:E se eu não tivesse a opção de pagar  com cartão como faria? Ela olhou com cara de deboche e disse que cancelaria a compra. Questionei ....o cliente fica sem levar o produto? Ela confirmou que sim. Tirou uma com minha cara me expondo a todos que ali estavam. 
Fiquei com vergonha e disse que ela tinha que rezar para manter o emprego dela ...a funcionária ainda debochou da minha cara dizendo rindo Feliz Natal.
Onde aconteceu isso? Na Suift Planalto da Av Robert Kennedy localizada dentro do posto de gasolina.
Foi ontem dia 22/12/2025.
Sou cliente a muito tempo da Suift, mas vou rever meus conceitos de continuar comprando na Suift porque ser mal tratada por funcionária não dá.",0.8901,0.47
negativo,Outros / Genéricos,L5281-OLIVEIRA FREIRE,Contra filé mais duro que já comi na vida nunca mais volto,0.8842,0.3119
negativo,App / Site / Pagamento,L5078-CAMPO BELO 2 (1342),"Passaram uma picanha a mais na compra, quando cheguei no carro olhei a nota para ver o por que saiu mais caro do que eu tinha feito as contas e percebi que passaram uma picanha a mais,  quando fui no caixa eles queriam estornar e passar novamente o cartão, como eu estava com o cartao da empresa gostaria que devolvessem o valor da picanha apenas, o caixa falou que não, pedi para chamar a gerente , responderam que ela estava almoçando, então estornaram a compra e deixei de comprar....fui embora.....não volto mais nessa unidade, ja foram alguns problemas no campo belo...talvez não voltarei mais na swift, ira depender de como voces irão resolver esse problema....",0.8837,0.4563
negativo,Outros / Genéricos,L5210-CAMPANELLA,"uma merda, vc só quer ganhar dinheiro vai se fuder.",0.8807,0.2663
neutro,Qualidade do produto,L5251-JANGADEIROS,"Faltam muitos produtos: bife de alcatra, linha black etc…",0.8455,0.7191
neutro,Qualidade do produto,L5019-ANGELICA (0684),"Comprei frango que veio todo grudado, congelado em bloco, isso difere do padrão q estou habituada",0.8344,0.937
negativo,Preço / Promoções,L5176-BRAGANCA PAULISTA,Foi firmado que a partir de um valor eu teria desconto passou até do valor comprado e não  houve desconto isso e propaganda enganosa,0.8329,0.3165
neutro,Qualidade do produto,L5059-TUTOIA (1294),"Fui numa hora infeliz pois os repositores estavam abastecendo e ai ficou mais complicado ainda
Deveriam investir em disponibilizar mais prodtos da SEARA para AirFreyer.  Tinha poucas opcoes em relacao a propaganda da Seara na TV",0.8228,0.3013
neutro,Atendimento / Loja física,L5143-AQUARIUS,Mais caixas disponíveis. Só tinha um caixa disponível,0.7857,0.4895
neutro,App / Site / Pagamento,L5070-BORGES LAGOA (1323),"Ter sempre troco para quem compra em moeda corrente ,todo vez que compro os funcionários torcem o nariz",0.7568,0.291
negativo,Preço / Promoções,L5219-AV. ITAQUERA,"valor oferecido não é o valor pago. Promoção na compra de 2 prças sairia por 39,90 e no caixa paguei 54,90. propaganda enganosa.",0.7519,0.4048
neutro,Entrega / Pedido digital,L5169-JACAREI,Entrega terceirizada. Atendimento mediano,0.7439,0.9606
neutro,App / Site / Pagamento,L5184-PRACA VARNHAGEM,"Loja com poucos caixas disponíveis, atendimento lento e indisponibilidade de troco para pagamentos em dinheiro.",0.7382,0.508
neutro,Entrega / Pedido digital,L5244-TAGUATINGA SUL,"Coloquei o endereço certo no site, mas por algum motivo os entregadores acabam com um endereço nada a ver com o que eu coloquei. Tive problema com isso nas duas entregas.

Coloco o endereço, complemento e tudo mais bem bonitinho no site, pra no fim, nada disso ser passado para quem entrega.

Além disso, o site vive bugado. Das duas vezes eu tive que montar o carrinho várias vezes até conseguir realizar o pedido porque o site simplesmente bugava toda vez que eu tinha que finalizar a compra. Várias vezes ele também fica fora do ar.",0.7367,0.9746
neutro,Preço / Promoções,L5184-PRACA VARNHAGEM,"Os repositores ocupam as prateleira e nao conseguimos comprar , repor as mercadorias  em horário diferente",0.7366,0.5556
neutro,Preço / Promoções,L5100-INTERLAGOS (1431),"Uma organização melhor...
Não deixarem o cliente esperando no caixa vazio enquanto 04 funcionários no salão ajeitando mercadorias em exposição...rsrsrsrs",0.7338,0.3013
neutro,Entrega / Pedido digital,L5230-LARGO DO MACHADO,"A entrega atrasou 25 minutos e os produtos chegaram em início de processo de degelo. 
Minha experiência anterior foi melhor. Foi pontual e tudo estava bem congelado.",0.7334,0.9044
neutro,Atendimento / Loja física,L5037-VILA ROMANA (0880),"Loja extremamente bagunçada ontem por volta das 18:30, somente dois funcionários para guardar os produtos e atender ao caixa. Já foi melhor..",0.7247,0.4658
neutro,App / Site / Pagamento,L5199-CASA VERDE,"o caixa não tinha troco para pagamento em moeda corrente, tive que passar cartão.",0.7175,0.8615
neutro,Preço / Promoções,L5126-CELSO GARCIA,diminui em 15% o preço,0.7146,0.2208
neutro,Atendimento / Loja física,L5057-BOQUEIRAO (1289),muita mudança de funcionarios...nao cria uma relação mais cordial com clientes,0.7094,0.4406
neutro,Outros / Genéricos,L5178-PERIMETRAL,"Comprei algumas coisas. Mas N tinha o sassami sem tempero,estava vazio .",0.6904,0.3118
neutro,Outros / Genéricos,L5140-OSASCO KM 18,A picanha ouro e combo estavam muito parecidas. Não justificava o valor maior.,0.6837,0.3144
neutro,Outros / Genéricos,L5090-NORTE SUL (1365),Comprei salmão mas não gostei,0.6666,0.2454
 prendeu a roda numa destas rodas. Foi colocar estas mercadorias nos expositores. Que higiene é esta? Pretendo nunca mais comprar nesta loja,182,0.6481,movimentou o carrinho para retirar estas caixas debaixo dele, lamentável. A senhora que estava esperando a mercadoria até foi abrir o saco plástico para conferir sua mercadoria pois achou muita displicência. E a atendente que estava lá,1075
